Distance (m),Force (N)
0.001566,1.783055
0.002238,1.789313
0.002685,1.776797
0.002685,1.776797
0.002685,1.776797
0.002685,1.776797
0.002685,1.776797
0.002685,1.776797
0.002685,1.776797
0.002685,1.783055
0.002685,1.783055
0.002685,1.783055
0.002685,1.783055
0.002685,1.783055
0.002685,1.776797
0.002685,1.783055
0.002685,1.783055
0.002685,1.789313
0.002685,1.783055
0.002685,1.79557
0.002685,1.783055
0.002685,1.789313
0.002685,1.789313
0.002685,1.79557
0.002685,1.789313
0.002685,1.789313
0.002685,1.79557
0.002685,1.789313
0.002685,1.776797
0.002685,1.79557
0.002685,1.789313
0.002685,1.783055
0.002685,1.783055
0.002685,1.801828
0.002685,1.79557
0.002685,1.79557
0.002685,1.79557
0.002685,1.79557
0.002685,1.79557
0.002685,1.79557
0.002685,1.808086
0.002685,1.808086
0.002685,1.79557
0.002685,1.808086
0.002685,1.801828
0.002685,1.801828
0.002685,1.801828
0.002685,1.808086
0.002685,1.808086
0.002685,1.814344
0.002685,1.801828
0.002685,1.808086
0.002685,1.808086
0.002685,1.808086
0.002685,1.814344
0.002685,1.820602
0.002685,1.814344
0.002685,1.808086
0.002685,1.808086
0.002685,1.814344
0.002685,1.808086
0.002685,1.808086
0.002685,1.814344
0.002685,1.808086
0.002685,1.814344
0.002685,1.79557
0.002685,1.814344
0.002685,1.808086
0.002685,1.814344
0.002685,1.808086
0.002685,1.801828
0.002685,1.814344
0.002685,1.808086
0.002685,1.808086
0.002685,1.814344
0.002685,1.808086
0.002685,1.801828
0.002685,1.801828
0.002685,1.808086
0.002685,1.808086
0.002685,1.814344
0.002685,1.814344
0.002685,1.808086
0.002685,1.808086
0.002685,1.808086
0.002685,1.820602
0.002685,1.814344
0.002685,1.820602
0.002685,1.808086
0.002685,1.814344
0.002685,1.820602
0.002685,1.814344
0.002685,1.820602
0.002685,1.820602
0.002685,1.820602
0.002685,1.820602
0.002685,1.814344
0.002685,1.814344
0.002685,1.814344
0.002685,1.826859
0.002685,1.820602
0.002685,1.820602
0.002685,1.820602
0.002685,1.826859
0.002685,1.839375
0.002685,1.826859
0.002685,1.820602
0.002685,1.833117
0.002685,1.826859
0.002685,1.814344
0.002685,1.820602
0.002685,1.820602
0.002685,1.820602
0.002685,1.820602
0.002685,1.808086
0.002685,1.801828
0.002685,1.789313
0.002685,1.808086
0.002685,1.789313
0.002685,1.789313
0.002685,1.789313
0.002685,1.79557
0.002685,1.79557
0.002685,1.801828
0.002685,1.79557
0.002685,1.79557
0.002685,1.789313
0.002685,1.79557
0.002685,1.79557
0.002685,1.79557
0.002685,1.801828
0.002685,1.79557
0.002685,1.79557
0.002685,1.79557
0.002685,1.79557
0.002685,1.79557
0.002685,1.79557
0.002685,1.801828
0.002685,1.79557
0.002685,1.79557
0.002685,1.789313
0.002685,1.79557
0.002685,1.808086
0.002685,1.79557
0.002685,1.808086
0.002685,1.808086
0.002685,1.79557
0.002685,1.79557
0.002685,1.801828
0.002685,1.79557
0.002685,1.789313
0.002685,1.789313
0.002685,1.789313
0.002685,1.789313
0.002685,1.79557
0.002685,1.783055
0.002685,1.801828
0.002685,1.79557
0.002685,1.783055
0.002685,1.764281
0.002685,1.764281
0.002685,1.758023
0.002685,1.745508
0.002685,1.714219
0.002685,1.720477
0.002685,1.707961
0.002685,1.707961
0.002685,1.714219
0.002685,1.714219
0.002685,1.714219
0.002685,1.720477
0.002685,1.726734
0.002685,1.726734
0.002685,1.726734
0.002685,1.720477
0.002685,1.726734
0.002685,1.714219
0.002685,1.720477
0.002685,1.714219
0.002685,1.707961
0.002685,1.720477
0.002685,1.714219
0.002685,1.701703
0.002685,1.714219
0.002685,1.707961
0.002685,1.695445
